autorinnenname,land,wohnort,titel,eingeladen_von,teilnahmejahr,geburtsjahr,geschlecht,vorgetragen_am,preis_gewonnen,wikipedia
Ada Dorian,Deutschland,Osnabrück,Betrunkene Bäume,Hildegard E. Keller,2016,1981,w,Samstag,False,True
Sharon Dodua Otoo,Großbritannien,Berlin,Herr Gröttrup setzt sich hin,Sandra Kegel,2016,1972,w,Samstag,True,True
Astrid Sozio,Deutschland,Hamburg,Das verlassenste Land,Juri Steiner,2016,1979,w,Samstag,False,False
Dieter Zwicky,Schweiz,"Uster,Zürich",Los Alamos ist winzig,Juri Steiner,2016,1957,m,Samstag,True,True
Katerina Poladjan,"Deutschland,Russland",Frankfurt/Main,Es ist weit bis Marseille,Meike Feßmann,2015,1979,w,Donnerstag,False,True
Nora Gomringer,"Schweiz,Deutschland",Bamberg,Recherche,Sandra Kegel,2015,1980,w,Donnerstag,True,True
Saskia Hennig von Lange,Deutschland,Frankfurt/Main,Hierbleiben,Sandra Kegel,2015,1976,w,Donnerstag,False,True
Sven Recker,Deutschland,Berlin,"BROT, BROT, BROT",Meike Feßmann,2015,1973,m,Donnerstag,False,False
Valerie Fritsch,Österreich,Graz,Das Bein,Klaus Kastberger,2015,1989,w,Donnerstag,True,True
Peter Truschner,"Österreich,Deutschland",Berlin,RTL-Reptil,Stefan Gmünder,2015,1967,m,Freitag,False,True
FALKNER,Österreich,Wien,Krieger sein Bruder sein – Manifest 47,Klaus Kastberger,2015,1970,w,Freitag,False,True
Tim Krohn,"Schweiz,Deutschland",Val Müstair,Zum Paradies,Juri Steiner,2015,1965,m,Freitag,False,True
Monique Schwitter,"Schweiz,Deutschland",Hamburg,Esche,Hildegard E. Keller,2015,1972,w,Freitag,False,True
Ronja von Rönne,Deutschland,Berlin,Welt am Sonntag,Hubert Winkels,2015,1992,w,Freitag,False,True
Jürg Halter,Schweiz,Bern,Erwachen im 21. Jahrhundert,Juri Steiner,2015,1980,m,Samstag,False,True
Anna Baar,Österreich,Klagenfurt,Die Farbe des Granatapfels,Stefan Gmünder,2015,1973,w,Samstag,False,True
Teresa Präauer,Österreich,Wien,"Oh, Schimmi",Hubert Winkels,2015,1979,w,Samstag,False,True
Dana Grigorcea,"Schweiz,Rumänien",Zürich,Das primäre Gefühl der Schuldlosigkeit,Hildegard E. Keller,2015,1979,w,Samstag,True,True
Roman Marchel,Österreich,südliches Waldviertel,Die fröhlichen Pferde von Chauvet,Arno Dusini,2014,1974,m,Donnerstag,False,True
Kerstin Preiwuß,Deutschland,Leipzig,unbetitelter Text,Meike Feßmann,2014,1980,w,Donnerstag,False,True
Tobias Sommer,Deutschland,Bad Segeberg,Steuerstrafakte,Juri Steiner,2014,1978,m,Donnerstag,False,True
Gertraud Klemm,Österreich,Pfaffstätten,Ujjayi (Romanauszug),Hubert Winkels,2014,1971,w,Donnerstag,True,True
Olga Flor,Österreich,Graz,Unter Platanen,Daniela Strigl,2014,1968,w,Donnerstag,False,True
Anne-Kathrin Heier,Deutschland,Berlin,Ichthys,Burkhard Spinnen,2014,1977,w,Freitag,False,True
Birgit Pölzl,Österreich,Graz,Maia,Arno Dusini,2014,1959,w,Freitag,False,True
Senthuran Varatharajah,Deutschland,Berlin,Vor der Zunahme der Zeichen (Romanauszug),Meike Feßmann,2014,1984,m,Freitag,True,True
Michael Fehr,Schweiz,Bern,Simeliberg (Romanauszug),Juri Steiner,2014,1982,m,Freitag,True,True
Romana Ganzoni,Schweiz,Celerina,Ignis Cool,Hildegard E. Keller,2014,1967,w,Freitag,False,True
Katharina Gericke,Deutschland,Berlin,DOWN DOWN DOWN To The Queen Of Chinatown,Burkhard Spinnen,2014,1966,w,Samstag,True,True
Tex Rubinowitz,"Österreich,Deutschland",Wien,Wir waren niemals hier,Daniela Strigl,2014,1961,m,Samstag,True,True
Georg Petz,Österreich,Graz,Millefleurs,Hildegard E. Keller,2014,1977,m,Samstag,False,True
