autorinnenname,land,wohnort,titel,eingeladen_von,teilnahmejahr,geburtsjahr,geschlecht,vorgetragen_am,preis_gewonnen,wikipedia,webseite
Verena Rossbacher,Österreich,Berlin,"schlachten. Ein Alphabet der Indizien. (Romanauszug)",Burkhard Spinnen,27062010,01071979,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/2290/index.html"
Lorenz Langenegger,Schweiz,Zürich,Der Mann mit der Uhr,Alain Claude Sulzer,28062009,01071980,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/846/index.html"
Philipp Weiss,Österreich,Wien,Blätterliebe,Karin Fleischanderl,28062009,05021982,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/837/index.html"
Karsten Krampitz,Deutschland,Berlin,Auszug aus der Novelle „Heimgehen“,Hildegard E. Keller,28062009,24121969,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/847/index.html"
Bruno Preisendörfer,Deutschland,Berlin,Fifty Blues,Ijoma Mangold,28062009,01071957,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/843/index.html"
Christiane Neudecker,Deutschland,Berlin,Wo viel Licht ist,Meike Feßmann,28062009,16031974,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/845/index.html"
Linda Stift,Österreich,Wien,Die Welt der schönen Dinge,Karin Fleischanderl,28062009,26021968,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/838/index.html"
Ralf Bönt,Deutschland,Berlin,Auszug aus der Novelle „Der Fotoeffekt“,Meike Feßmann,28062009,01071963,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/849/index.html"
Karl-Gustav Ruch,Schweiz,Barcelona,Hinter der Wand,Paul Jandl,28062009,01071954,m,Freitag,False,False,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/842/index.html"
Jens Petersen,Schweiz,Zürich,Bis dass der Tod,Burkhard Spinnen,28062009,20031976,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/844/index.html"
Andreas Schäfer,Deutschland,Berlin,Auszeit,Alain Claude Sulzer,28062009,20051969,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/839/index.html"
Gregor Sander,Deutschland,Berlin,Winterfisch,Hildegard E. Keller,28062009,24041968,m,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/841/index.html"
Andrea Winkler,Österreich,Wien,Aus dem Gras,Paul Jandl,28062009,01071972,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/836/index.html"
Katharina Born,Deutschland,Paris,Fifty Fifty,Ijoma Mangold,28062009,27051973,w,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/848/index.html"
Caterina Satanik,Österreich,"Höflein a.d. Donau",leben ist anders (Auszug),Burkhard Spinnen,28062009,01071976,w,Samstag,False,False,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/840/index.html"
Thorsten Palzhoff,Deutschland,Berlin,Livia,Ijoma Mangold,28062008,01071974,m,Donnerstag,False,False,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/21/index.html"
Alina Bronsky,Deutschland,Frankfurt/Main,Scherbenpark (Romanauszug),Ijoma Mangold,28062008,02121978,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/10/index.html"
Clemens J. Setz,Österreich,Graz,Die Waage,Daniela Strigl,28062008,15111982,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/12/index.html"
Angelika Reitzer,Österreich,Wien,Super-8,André Vladimir Heiz,28062008,01071971,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/14/index.html"
Martin von Arndt,Deutschland,Stuttgart,Der Tod ist ein Postmann mit Hut (Romanauszug),Alain Claude Sulzer,28062008,01071968,m,Donnerstag,False,True,webseite
Patrick Findeis,Deutschland,Berlin,Kein schöner Land (Romanauszug),Burkhard Spinnen,28062008,01071975,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/25/index.html"
Markus Orths,Deutschland,Karlsruhe,Das Zimmermädchen (Romanauszug),Daniela Strigl,28062008,21061969,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/22/index.html"
Heike Geißler,Deutschland,Leipzig,Das luftige Leben,Ursula März,28062008,05041977,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/26/index.html"
Sudabeh Mohafez,Deutschland,Stuttgart,Im roten Meer,Klaus Nüchtern,28062008,01071963,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/23/index.html"
Dagrun Hintze,Deutschland,Hamburg,Flugangst,Burkhard Spinnen,28062008,01071971,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/27/index.html"
Pedro Lenz,Schweiz,Bern,Inland,André Vladimir Heiz,28062008,08031965,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/24/index.html"
Ulf Erdmann Ziegler,Deutschland,Frankfurt/Main,Pomona,Alain Claude Sulzer,28062008,01071959,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/11/index.html"
Tilman Rammstedt,Deutschland,Berlin,Der Kaiser von China (Romanauszug),Ursula März,28062008,02051975,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/20/index.html"
Anette Selg,Deutschland,"Vorpommern, Berlin",Muttervaterkind,Klaus Nüchtern,28062008,01071968,w,Freitag,False,False,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/13/index.html"
Jagoda Marinić,Deutschland,Heidelberg,Netzhaut,Martin Ebel,01072007,20091977,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195930/index.html"
Christian Bernhardt,Deutschland,Köln,was sie hier haben,Klaus Nüchtern,01072007,22011964,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195971/index.html"
Jochen Schmidt,Deutschland,Berlin,Abschied aus einer Umlaufbahn,Ursula März,01072007,09111970,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195920/index.html"
Andrea Grill,Österreich,Bologna,Freunde,Daniela Strigl,01072007,16011975,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195934/index.html"
Jörg Albrecht,Deutschland,Berlin,"Von Schläfe zu Schläfe/Phantomschirm (Multimedia-Performance)",Ilma Rakusa,01072007,21081981,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195974/index.html"
Fridolin Schley,Deutschland,München,Unannehmlichkeiten durch Liebe (Auszug),Ijoma Mangold,01072007,29101976,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195922/index.html"
Lutz Seiler,Deutschland,Berlin,Turksib (Auszug),Ilma Rakusa,01072007,08061963,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195917/index.html"
Silke Scheuermann,Deutschland,Frankfurt/Main,Die Furchtlosen,Ursula März,01072007,15061973,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195923/index.html"
Ronald Reng,Deutschland,Barcelona,Prolog eines neuen Romans,Martin Ebel,01072007,01071970,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195925/index.html"
Dieter Zwicky,Schweiz,Uster,Mein afrikanisches Jubeljahr,André Vladimir Heiz,01072007,07091957,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195912/index.html"
Michael Stavaric,Österreich,Wien,Böses Spiel,Daniela Strigl,01072007,07011972,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195913/index.html"
Milena Oda,Tschechien,Berlin,Der Briefschreiber (Romanauszug),André Vladimir Heiz,01072007,15031975,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195929/index.html"
Kurt Oesterle,Deutschland,Tübingen,Wunschbruder (Romanauszug),Karl Corino,01072007,17051955,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195928/index.html"
PeterLicht,Deutschland,Berlin,Die Geschichte meiner Einschätzung am Anfang des dritten Jahrtausends,Iris Radisch,01072007,"im letzten Drittel des 20. Jahrhunderts",m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195931/index.html"
Jan Böttcher,Deutschland,Berlin,Freundwärts,Ijoma Mangold,01072007,01071973,m,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195969/index.html"
Björn Kern,Deutschland,Schofheim,Eine halbe Stunde noch,Karl Corino,01072007,22041978,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195933/index.html"
Thomas Stangl,Österreich,Wien,Text für Klagenfurt,Iris Radisch,01072007,04011966,m,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195915/index.html"
Martin Becker,Deutschland,Berlin,Dem Schliff sein Tod,Klaus Nüchtern,01072007,02111982,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/195973/index.html"
Sigrid Behrens,Deutschland,Hamburg,Diskrete Momente (Auszug),Norbert Miller,25062006,28051976,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110693/index.html"
Bodo Hell,Österreich,"Wien, am Dachstein",Stadt Land Berg,Ilma Rakusa,25062006,15031943,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110695/index.html"
Silvio Huonder,Schweiz,Schwielowsee,Ohne Titel,Martin Ebel,25062006,06101954,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110700/index.html"
Clemens Meyer,Deutschland,Leipzig,Reise zum Fluss,Ursula März,25062006,20081977,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110707/index.html"
Angelika Overath,Deutschland,Tübingen,Das Aquarium,Ursula März,25062006,17071957,w,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110800/index.html"
Kevin Vennemann,Deutschland,"Wien, Berlin",Im Komponierhäuschen (Auszug),Ilma Rakusa,25062006,01071977,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110806/index.html"
Andreas Merkel,Deutschland,Berlin,Aus dem Unterholz,Klaus Nüchtern,25062006,21081970,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110704/index.html"
Claudia Klischat,Deutschland,Leipzig,Stillstand,Heinrich Detering,25062006,01071970,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110701/index.html"
Thomas Melle,Deutschland,Berlin,Nachtschwimmen,Burkhard Spinnen,25062006,17031975,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110702/index.html"
Dirk von Petersdorff,Deutschland,Saarbrücken,Anfang,Heinrich Detering,25062006,16031966,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110802/index.html"
Paul Brodowsky,Deutschland,Berlin,Aufnahme,Iris Radisch,25062006,01071980,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110694/index.html"
Annette Mingels,Schweiz,Zürich,Nachbeben,Martin Ebel,25062006,18081971,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110809/index.html"
Hanno Millesi,Österreich,Wien,Werktagsüber,Daniela Strigl,25062006,15051966,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110803/index.html"
Norbert Scheuer,Deutschland,"Kall/Keldenich",Überm Rauschen,Iris Radisch,25062006,16121951,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110804/index.html"
Katja Huber,Deutschland,München,Sofija (Romanauszug),Klaus Nüchtern,25062006,12071971,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110696/index.html"
Kathrin Passig,Deutschland,Berlin,Sie befinden sich hier,Daniela Strigl,25062006,04061970,w,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110801/index.html"
Kai Weyand,Deutschland,Freiburg,Paso Doble,Norbert Miller,25062006,01071968,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110807/index.html"
Ina Strelow,Deutschland,Berlin,Arrest,Burkhard Spinnen,25062006,09111958,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/110805/index.html"
Nikolai Vogel,Deutschland,München,Plug In,Norbert Miller,26062005,10011971,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36389/index.html"
Julia Schoch,Deutschland,Potsdam,Der Ritt durch den Feind,Iris Radisch,26062005,17051974,w,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36435/index.html"
Susanne Heinrich,Deutschland,Leipzig,Die Frage wer anfängt,Heinrich Detering,26062005,13111985,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36478/index.html"
Saša Stanišić,Deutschland,"in Deutschland","Was wir im Keller spielen ...",Ilma Rakusa,26062005,07031978,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36391/index.html"
Kristof Magnusson,Deutschland,Langenthal,Zuhause,Klaus Nüchtern,26062005,04031976,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36474/index.html"
Helmut Kuhn,Deutschland,Berlin,Der Savant (Arbeitstitel),Norbert Miller,26062005,01071962,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36476/index.html"
Natalie Balkow,Deutschland,"Mönchengladbach, Berlin","Oben, wo nichts mehr ist",Klaus Nüchtern,26062005,18121968,w,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36336/index.html"
Christoph Simon,Schweiz,Bern,Planet Obrist,Martin Ebel,26062005,06081972,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36392/index.html"
Martina Hefter,Deutschland,Leipzig,"Noch auf dem Bahnsteig ...",Ursula März,26062005,11061965,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36479/index.html"
Gerhild Steinbuch,Österreich,Graz,"Ins Wasser schlachten.",Daniela Strigl,26062005,21011983,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36390/index.html"
Barbara Bongartz,Deutschland,Berlin,Karpfen grün,Ilma Rakusa,26062005,11091957,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36480/index.html"
Anne Weber,Deutschland,"Straßburg, Paris",Auszug,Ursula März,26062005,13111964,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36355/index.html"
Anna Kim,Österreich,Wien,Das Archiv,Daniela Strigl,26062005,10091977,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36477/index.html"
Klaus Böldl,Deutschland,München,"Passau - ein Versuch (Auszüge)",Heinrich Detering,26062005,21021964,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36481/index.html"
Thomas Lang,Deutschland,München,Am Seil,Burkhard Spinnen,26062005,19031967,m,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36475/index.html"
Sabine Schiffner,Deutschland,Köln,Kindbettfieber,Martin Ebel,26062005,24091965,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36438/index.html"
Eva von Schirach,Deutschland,Berlin,Susi Voss,Iris Radisch,26062005,01071968,w,Samstag,False,False,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/36436/index.html"
Anna Katharina Hahn,Deutschland,Stuttgart,Kavaliersdelikt,Ursula März,27062004,20101970,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11097/index.html"
Wolfgang Herrndorf,Deutschland,Berlin,Diesseits des Van-Allen-Gürtels,Klaus Nüchtern,27062004,12061965,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11094/index.html"
Juli Zeh,Deutschland,Leipzig,Nichts ist schlimmer als Unversehrtheit,Iris Radisch,27062004,30061974,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11084/index.html"
Dorothea Dieckmann,Deutschland,Hamburg,Guantánamo (Romanauszug),Ursula März,27062004,18121957,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11099/index.html"
Simona Sabato,Deutschland,Berlin,Beginn eines Romans,Burkhard Spinnen,27062004,01071964,w,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11087/index.html"
Sandra Hoffmann,Deutschland,Tübingen,Den Himmel zu Füßen (Romanauszug),Heinrich Detering,27062004,11051967,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11093/index.html"
Rolf Schönlau,Deutschland,Schlangen,N° 9,Heinrich Detering,27062004,18121950,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11086/index.html"
Thomas Raab,Österreich,Wien,Einführung in die doppelte Buchhaltung,Daniela Strigl,27062004,23111968,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11089/index.html"
Richard David Precht,Deutschland,Köln,Baader Braun,Daniela Strigl,27062004,08121964,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11090/index.html"
Artur Becker,Deutschland,"Verden/Aller",Auszug aus einer Novelle,Norbert Miller,27062004,07051968,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11100/index.html"
Andreas Münzner,Schweiz,"Hamburg, Schweiz",Kennen sie Tschechow,Ilma Rakusa,27062004,26091967,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11092/index.html"
Uwe Tellkamp,Deutschland,München,Der Schlaf in den Uhren (Romanauszug),Ilma Rakusa,27062004,28101968,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11085/index.html"
Melinda Nadj Abonji,Schweiz,Zürich,Im Schaufenster in Frühling (Romanauszug),Martin Ebel,27062004,22061968,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11091/index.html"
Arne Roß,Deutschland,Berlin,Pauls Fall (Auszug),Burkhard Spinnen,27062004,20091966,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11088/index.html"
Roswitha Haring,Deutschland,Köln,Das halbe Leben,Martin Ebel,27062004,09101960,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11096/index.html"
Guy Helminger,Luxemburg,Köln,Pelargonien,Iris Radisch,27062004,20011963,m,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11095/index.html"
Arno Geiger,Österreich,"Wien, Wolfurt","16. April 2001",Norbert Miller,27062004,22071968,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/11098/index.html"
Bettina Balàka,Österreich,Wien,Blaue Augen,Klaus Nüchtern,27062004,27031966,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreisv2/bachmannpreis/autoren/stories/12264/index.html"
Farhad Showghi,Deutschland,Hamburg,Die große Entfernung,Ilma Rakusa,29062003,04061961,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Norbert Müller,Deutschland,Berlin,Huhn in der Suppe,Josef Haslinger,29062003,16031963,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Christina Griebel,Deutschland,"Berlin, Frankfurt/Main",Der Schlafanzug,Burkhard Spinnen,29062003,12041973,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Christine Rinderknecht,Schweiz,Zürich,Elf Uhr dreiunddreissig,Daniela Strigl,29062003,05121954,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Katrin de Vries,Deutschland,Dollart,Die Lust am Walde (Auszug),Thomas Steinfeld,29062003,01071959,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Susanne Fischer,Deutschland,Hohne,Zuckerwatte und Gesang,Friederike Kretzen,29062003,18081960,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Henning Ahrens,Deutschland,Handorf,Commander Coeursledge (Romanauszug),Thomas Steinfeld,29062003,22111964,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Ulla Lenze,Deutschland,Köln,Schwester und Bruder (Romanauszug),Norbert Miller,29062003,18091973,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Sünje Lewejohann,Deutschland,"Berlin, Leipzig",In Farnschatten,Josef Haslinger,29062003,01071972,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Feridun Zaimoglu,Deutschland,Kiel,Häute,Ursula März,29062003,04121964,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Lukas Hammerstein,Deutschland,München,Die hundertzwanzig Tage von Berlin (Auszug),Iris Radisch,29062003,04051958,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Michael Stauffer,Schweiz,"Frauenfeld, Biel/Bienne",Klagenfurt,Friederike Kretzen,29062003,20071972,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Kristof Schreuf,Deutschland,Hamburg,"Wahrheit ist das wovon Männer gerne behaupten, dass es ihnen um sie geht",Iris Radisch,29062003,01071963,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Gregor Hens,Deutschland,"Columbus (USA)","John F. Kennedy und der Ausbruch des Irazú",Burkhard Spinnen,29062003,25111965,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Olga Flor,Österreich,Graz,Wiederkehr,Daniela Strigl,29062003,25011968,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Christof Hamann,Deutschland,Wuppertal,Fester (Romanauszug),Norbert Miller,29062003,04071966,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Inka Parei,Deutschland,Berlin,Romananfang,Ursula März,29062003,05021967,w,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Oswald Egger,Österreich,"Wien, Hombroich","Prosa, Proserpina, Prosa",Ilma Rakusa,29062003,07031963,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2003/"
Jörg Matheis,Deutschland,Ingelheim,Schnitt,Burkhard Spinnen,30062002,01071970,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Nina Jäckle,Deutschland,Berlin,Buchenhofstaffel,Pia Reinacher,30062002,20051966,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Markus Ramseier,Schweiz,Pratteln,Steinzeit,Thomas Widmer,30062002,12081955,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Heinz D. Heisl,Österreich,"Hall (Tirol), Zürich",Die Rechtfertigung des Alltäglichen oder drei Worthäuser in der Straße des jungen Er,Robert Schindel,30062002,01071952,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Lukas Bärfuss,Schweiz,Zürich,Die toten Männer (Auszug aus einer Novelle),Thomas Widmer,30062002,30121971,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Mirko Bonné,Deutschland,Dassendorf,Auszeit,Robert Schindel,30062002,09061965,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Peter Glaser,Österreich,Berlin,Geschichte von Nichts,Denis Scheck,30062002,30061957,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Christoph W. Bauer,Österreich,Innsbruck,"Auf. Stummen (Auszug)",Robert Schindel,30062002,01071968,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Daniel Zahno,Schweiz,Basel,Deauville,Thomas Widmer,30062002,18111963,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Roger Monnerat,Schweiz,Basel,"Himmel & Hölle",Birgit Vanderbeke,30062002,07031949,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Norbert Zähringer,Deutschland,Berlin,Auszug aus einer längeren Erzählung,Denis Scheck,30062002,04051967,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
