id,autorinnenname,land,wohnort,titel,eingeladen_von,teilnahmejahr,geburtsjahr,geschlecht,vorgetragen_am,preis_gewonnen,wikipedia,preis
41,Maxi Obexer,"Deutschland,Italien",Berlin,Europas längster Sommer,Meike Feßmann,2017,1970,w,Samstag,False,True,False
42,Urs Mannhart,Schweiz,Madiswil,Ein Bier im Banja,Michael Wiederstein,2017,1975,m,Samstag,False,True,False
43,Stefanie Sargnagel,Österreich,Wien,Penne vom Kika,Sandra Kegel,2016,1986,w,Donnerstag,True,True,BKS Bank-Publikumspreis
44,Sascha Macht,Deutschland,Leipzig,Das alte Lied von Señor Magma,Hildegard E. Keller,2016,1986,m,Donnerstag,False,False,False
45,Marko Dinić,Serbien,Salzburg,Als nach Milošević das Wasser kam,Klaus Kastberger,2016,1988,m,Donnerstag,False,True,False
46,Bastian Schneider,Deutschland,"Köln,Wien",MEZZANIN,Stefan Gmünder,2016,1981,m,Donnerstag,False,False,False
47,Selim Özdoğan,"Deutschland,Türkei",Köln,Ein geheimer Akkord,Stefan Gmünder,2016,1971,m,Donnerstag,False,True,False
48,Julia Wolf,Deutschland,Berlin,Walter Nowak bleibt liegen,Hubert Winkels,2016,1980,w,Freitag,True,True,3sat-Preis
49,Jan Snela,Deutschland,Tübingen,Araber und Schakale,Meike Feßmann,2016,1980,m,Freitag,False,True,False
50,Isabelle Lehn,Deutschland,Leipzig,Binde zwei Vögel zusammen,Meike Feßmann,2016,1979,w,Freitag,False,True,False
51,Tomer Gardi,Israel,Tel Aviv,unbetitelter Text,Klaus Kastberger,2016,1974,m,Freitag,False,True,False
52,Sylvie Schenk,Deutschland,"Aachen,La Roche de Rame-Hautes Alpes","Schnell, dein Leben",Hubert Winkels,2016,1944,w,Freitag,False,True,False
53,Ada Dorian,Deutschland,Osnabrück,Betrunkene Bäume,Hildegard E. Keller,2016,1981,w,Samstag,False,True,False
54,Sharon Dodua Otoo,Großbritannien,Berlin,Herr Gröttrup setzt sich hin,Sandra Kegel,2016,1972,w,Samstag,True,True,Ingeborg-Bachmann-Preis
55,Astrid Sozio,Deutschland,Hamburg,Das verlassenste Land,Juri Steiner,2016,1979,w,Samstag,False,False,False
56,Dieter Zwicky,Schweiz,"Uster,Zürich",Los Alamos ist winzig,Juri Steiner,2016,1957,m,Samstag,True,True,Kelag-Preis
57,Katerina Poladjan,"Deutschland,Russland",Frankfurt/Main,Es ist weit bis Marseille,Meike Feßmann,2015,1979,w,Donnerstag,False,True,False
58,Nora Gomringer,"Schweiz,Deutschland",Bamberg,Recherche,Sandra Kegel,2015,1980,w,Donnerstag,True,True,Ingeborg-Bachmann-Preis
59,Saskia Hennig von Lange,Deutschland,Frankfurt/Main,Hierbleiben,Sandra Kegel,2015,1976,w,Donnerstag,False,True,False
60,Sven Recker,Deutschland,Berlin,"BROT, BROT, BROT",Meike Feßmann,2015,1973,m,Donnerstag,False,False,False
61,Valerie Fritsch,Österreich,Graz,Das Bein,Klaus Kastberger,2015,1989,w,Donnerstag,True,True,"Kelag-Preis, BKS Bank-Publikumspreis"
62,Peter Truschner,"Österreich,Deutschland",Berlin,RTL-Reptil,Stefan Gmünder,2015,1967,m,Freitag,False,True,False
63,FALKNER,Österreich,Wien,Krieger sein Bruder sein – Manifest 47,Klaus Kastberger,2015,1970,w,Freitag,False,True,False
64,Tim Krohn,"Schweiz,Deutschland",Val Müstair,Zum Paradies,Juri Steiner,2015,1965,m,Freitag,False,True,False
65,Monique Schwitter,"Schweiz,Deutschland",Hamburg,Esche,Hildegard E. Keller,2015,1972,w,Freitag,False,True,False
66,Ronja von Rönne,Deutschland,Berlin,Welt am Sonntag,Hubert Winkels,2015,1992,w,Freitag,False,True,False
